# Temporary Swift test prints (the prints themselves were never committed), one `<record>|<key>|<json>` line per observation,
# doubles at %.17g. Regenerate: add the prints, `swift test --filter OCCTShapeHealingTests`, keep the EVID| lines.
T044|valid|true
T044|volume|999.9999999999998
T045|bodies|1
T045|faces|12
T045|volume|6999.999999999996
T046|bodies|2
T046|faces|12
T046|volume|1999.999999999999
T047|resultIsNull|true
T048|bodies|2
T048|faces|12
T048|volume|1999.999999999999
T049|bodies|1
T049|faces|6
T049|isSolid|true
T049|volume|999.9999999999998
T050|bodies|1
T050|faces|6
T050|isSolid|true
T050|volume|7999.999999999998
T051|bodies|2
T051|faces|12
T051|volume|1999.999999999999
T052|bodies|2
T052|faces|12
T052|volume|35000
T053|bodies|2
T053|faces|12
T053|volume|1999.999999999999
T054|bodies|1
T054|faces|6
T054|volume|999.9999999999998
T055|resultIsNull|true
T056|allChildrenSolids|true
T056|directChildren|2
T056|shellsAtAnyDepth|2
T056|singleIsSolid|true
T056|singleShells|1
T056|volume|1999.999999999999
T057|fixSolid.bodies|2
T057|fixSolid.faces|12
T057|fixSolid.maxX|30.0000001
T057|fixSolid.minX|-1e-07
T057|fixSolid.volume|1999.999999999999
T057|input.bodies|2
T057|input.faces|12
T057|input.maxX|30.0000001
T057|input.minX|-1e-07
T057|input.volume|1999.999999999999
T057|solidFromShellFixed.bodies|2
T057|solidFromShellFixed.faces|12
T057|solidFromShellFixed.maxX|30.0000001
T057|solidFromShellFixed.minX|-1e-07
T057|solidFromShellFixed.volume|1999.999999999999
T058|bodies|2
T058|faces|12
T058|volume|1999.999999999999
T059|bodiesAgree|true
T059|viaMakeSolid.bodies|2
T059|viaMakeSolid.volume|1999.999999999999
T059|viaShapeFix.bodies|2
T059|viaShapeFix.volume|1999.999999999999
T060|bodies|1
T060|faces|6
T060|isSolid|true
T060|valid|true
T060|volume|999.9999999999998
T061|bodies|2
T061|faces|11
T062|bodies|1
T062|faces|6
T062|isSolid|true
T062|volume|7999.999999999998
T063|bodies|2
T063|faces|12
T063|volume|1999.999999999999
T064|resultIsNull|true
T065|viaSolidFrom.bodies|1
T065|viaSolidFrom.volume|7999.999999999998
T065|viaSolidFromShellFixed.bodies|1
T065|viaSolidFromShellFixed.volume|7999.999999999998
T066|bodiesAgree|true
T066|fromShells.bodies|1
T066|fromShells.volume|7999.999999999998
T066|fromSolid.bodies|1
T066|fromSolid.volume|7999.999999999998
T067|bodies|100
T067|volume|100000.00000000061
T068|bodies|2
T068|volume|1999.999999999999
T069|bodies|2
T069|faces|12
T069|volume|1999.999999999999
T070|bodies|2
T070|facesQueried|12
T070|facesReportedDeleted|0
T071|bodies|1
T071|isSolid|true
T071|volume|999.9999999999998
T072|bodies|2
T072|faces|11
T073|bodies|2
T073|faces|12
T073|maxX|30.0000001
T073|minX|-1e-07
T073|volume|1999.999999999999
T074|bodies|2
T074|faces|12
T074|volume|1999.999999999999
T075|bodies|1
T075|faces|6
T075|valid|true
T075|volume|999.9999999999998
T076|bodies|1
T076|inputVolume|6999.999999999996
T076|volume|7999.999999999998
T077|bodies|2
T077|volume|8512
T078|faces|11
T079|bodies|0
T079|faces|1
T080|faces.1x2|2
T080|faces.2x1|2
T080|faces.3x2|6
T080|faces.4x4|16
T081|faces|1
T081|valid|true
T082|areas|[25, 25, 25, 25]
T082|faces|4
T082|sum|100
T082|whole|100
T083|faces.1x2|2
T083|faces.4x1|4
T083|totalArea|314.15926535897927
T083|wallArea|314.1592653589792
T084|refusedU0|true
T084|refusedUNeg2V3|true
T084|refusedV0|true
T085|refused|true
T086|area|99.99999999999999
T086|done|false
T086|faceValid|true
T086|fail|false
T086|ok|true
T086|perform|false
T086|resultValid|true
T087|faceIsNull|false
T087|fixIntersectingWires|false
T087|fixLoopWire|false
T087|fixPeriodicDegenerated|false
T087|fixWiresTwoCoincEdges|false
T088|intersectingWires|"NoError"
T088|wireImbrication|"NoError"
T088|wireOrientation|"NoError"
T089|intersectingWiresRefused|true
T089|wireOrientationRefused|true
T090|degree|1
T090|end|[10, 0, 0]
T090|start|[0, 0, 0]
T091|degree|7
T091|end|[-5, 8.881784197001252e-16, 0]
T091|mid|[3.3306690738754696e-16, 4.9999341453462085, 0]
T091|start|[5, 0, 0]
T092|end|[5, 0]
T092|start|[0, 0]
T093|adjusted|true
T094|area|99.99999999999999
T094|faces|1
T095|area|50.00000000000001
T095|faces|1
T096|faces|6
T096|valid|true
T096|volume|999.9999999999998
T097|faces|6
T097|valid|true
T097|volume|999.9999999999998
T098|faces|6
T098|valid|true
T098|volume|999.9999999999998
T099|resultIsNull|true
T100|converted|true
T100|gapAfter|-1
T100|gapBefore|-1
T100|resultGap|-1
T101|valid|true
T101|volume|7999.999999999998
T102|solids|2
T103|faces|12
T104|edges|12
T105|isSolid|true
T106|sewedShapeIsNull|true
T107|faces|6
T107|isShell|true
T107|valid|true
T108|nbContigousEdges|0
T108|nbDegeneratedShapes|0
T108|nbFreeEdges|4
T109|faces|12
T109|nbDeletedFaces|0
T110|isModified|false
T111|isDegenerated|false
T112|faces|6
T112|isShell|true
T112|nbFreeEdges|12
T113|isSectionBound|false
T113|whichFaceIsNull|true
T114|edge1Returned|true
T114|multipleEdgeCount|1
T115|multipleEdgeCount|0
T116|index1Returned|true
T116|index2Returned|false
T116|index999Returned|false
T117|faces|2
T117|valid|true
T118|faces|3
T118|valid|true
T119|faces|2
T119|valid|true
T120|faces|1
T120|valid|true
T121|faces|6
T121|valid|false
T121|volume|1000.0000000000001
T122|addCurve3d|false
T122|hasCurve3d|true
T122|removeCurve3d|false
T123|addPCurve|false
T124|removePCurve|false
T125|reversed2d|false
T126|isSolid|true
T126|perform|false
T126|valid|true
T126|volume|999.9999999999998
T127|fail|false
T127|shapeIsNull|false
T128|isSolid|true
T128|valid|true
T128|volume|999.9999999999998
T129|valid|true
T129|volume|999.9999999999998
T130|valid|true
T130|volume|999.9999999999998
T131|fixed|false
T132|edgesAfter|12
T132|edgesBefore|8
T132|fixed|true
T133|solids|1
T133|volume|999.9999999999998
T134|solids|2
T134|valid|true
T134|volume|1000.9999999999997
T135|isSolid|true
T135|valid|true
T135|volume|999.9999999999998
T136|isSolid|true
T136|volume|999.9999999999998
T137|valid|true
T137|vertices|8
T137|volume|999.9999999999998
T138|max|1e-05
T138|min|1e-05
T138|valid|true
T139|limited|false
T139|max|1e-07
T139|valid|true
T140|edges|12
T140|valid|true
T140|volume|999.9999999999998
T141|edges|12
T141|valid|true
T141|volume|999.9999999999998
T142|edges|12
T142|valid|true
T142|volume|999.9999999999998
T143|orientationOfWires|"BadOrientationOfSubshape"
T144|orientationOfWires|"BadOrientationOfSubshape"
T145|orientationOfWires|"NoError"
T146|default.dropping|6
T146|default.fixSmallEdges|6
T146|fixture|6
T146|tol1e-6.dropping|5
T146|tol1e-6.fixSmallEdges|5
T147|dropping|5
T147|fixSmallEdges|5
T147|fixture|6
T148|done|9
T148|done1|1
T148|done2|2
T148|done3|3
T148|done4|4
T148|done5|5
T148|done6|6
T148|done7|7
T148|done8|8
T148|fail|18
T148|fail1|10
T148|fail2|11
T148|fail3|12
T148|fail4|13
T148|fail5|14
T148|fail6|15
T148|fail7|16
T148|fail8|17
T148|ok|0
T149|done|9
T149|fail1|10
